Date,Price,Open,High,Low,Vol.,Change %
2024-01-11,1.9155,1.9395,1.9413,1.8996,,-1.07%
2024-01-10,1.9363,1.8628,1.9464,1.8612,,3.98%
2024-01-09,1.8621,1.8838,1.933,1.8568,,-1.03%
2024-01-08,1.8815,1.914,2.0225,1.8788,,-1.68%
2024-01-07,1.9137,1.8254,1.9352,1.8081,,4.75%
2024-01-06,1.8269,1.8023,1.8501,1.7974,,1.30%
2024-01-05,1.8035,1.8476,1.8522,1.7776,,-2.35%
2024-01-04,1.8469,1.8524,1.8935,1.8192,,-0.33%
2024-01-03,1.853,1.8571,1.8673,1.8304,,-0.18%
2024-01-02,1.8564,1.898,1.9074,1.8273,,-2.16%
2024-01-01,1.8973,1.8784,1.9025,1.8679,,1.07%
2023-01-12,1.8773,1.8563,1.8944,1.8386,,1.20%
2023-01-11,1.8551,1.8858,1.8981,1.8377,,-1.59%
2023-01-10,1.885,1.8204,1.9301,1.8166,,3.50%
2023-01-09,1.8212,1.8974,1.9203,1.8138,,-3.96%
2023-01-08,1.8962,1.847,1.9272,1.8443,,2.71%
2023-01-07,1.8462,1.8244,1.8752,1.7921,,1.33%
2023-01-06,1.8219,1.8231,1.8379,1.7831,,-0.01%
2023-01-05,1.8221,1.806,1.8363,1.7604,,0.85%
2023-01-04,1.8068,1.7452,1.841,1.7308,,3.52%
2023-01-03,1.7454,1.7163,1.7805,1.6981,,1.76%
2023-01-02,1.7152,1.6942,1.7411,1.6816,,1.24%
2023-01-01,1.6942,1.7032,1.7206,1.6608,,-0.48%
2022-01-12,1.7023,1.6783,1.7239,1.653,,1.43%
2022-01-11,1.6783,1.7174,1.7497,1.6753,,-2.23%
2022-01-10,1.7165,1.8116,1.8147,1.7152,,-5.14%
2022-01-09,1.8095,1.6715,1.8125,1.6595,,8.29%
2022-01-08,1.671,1.6733,1.6944,1.6414,,0.09%
2022-01-07,1.6695,1.6767,1.6946,1.6449,,-0.40%
2022-01-06,1.6762,1.6008,1.6906,1.5816,,4.83%
2022-01-05,1.599,1.5872,1.6215,1.5667,,0.58%
2022-01-04,1.5898,1.5622,1.5939,1.5366,,1.82%
2022-01-03,1.5614,1.6135,1.6148,1.5339,,-3.17%
2022-01-02,1.6125,1.6401,1.6466,1.5963,,-1.62%
2022-01-01,1.6391,1.6056,1.6447,1.5905,,2.14%
2021-01-12,1.6048,1.5951,1.6197,1.5822,,0.65%
2021-01-11,1.5944,1.5259,1.6016,1.5194,,4.69%
2021-01-10,1.523,1.5558,1.5641,1.5071,,-2.06%
2021-01-09,1.555,1.5511,1.5608,1.5191,,0.32%
2021-01-08,1.55,1.5811,1.6036,1.5373,,-2.03%
2021-01-07,1.5821,1.5484,1.5861,1.5271,,2.22%
2021-01-06,1.5477,1.5288,1.5713,1.5269,,1.20%
2021-01-05,1.5294,1.5267,1.5559,1.5137,,0.11%
2021-01-04,1.5277,1.5173,1.5453,1.5046,,0.74%
2021-01-03,1.5165,1.5185,1.5357,1.4858,,-0.27%
2021-01-02,1.5206,1.5654,1.5709,1.4774,,-2.58%
2021-01-01,1.5608,1.5712,1.5867,1.5507,,-0.67%
2020-01-12,1.5713,1.5671,1.6045,1.5646,,0.37%
2020-01-11,1.5655,1.6467,1.6552,1.5662,,-4.95%
2020-01-10,1.6471,1.6418,1.6812,1.6328,,0.38%
2020-01-09,1.6408,1.6435,1.6602,1.6162,,-0.10%
2020-01-08,1.6424,1.6527,1.6928,1.6391,,-0.56%
2020-01-07,1.6516,1.6357,1.654,1.6055,,1.02%
2020-01-06,1.6349,1.6772,1.6832,1.5874,,-2.46%
2020-01-05,1.6761,1.6904,1.7377,1.6549,,-0.82%
2020-01-04,1.69,1.747,1.761,1.6676,,-3.20%
2020-01-03,1.7459,1.6595,1.8872,1.6509,,5.45%
2020-01-02,1.6557,1.6056,1.6687,1.578,,3.12%
2020-01-01,1.6056,1.5331,1.6069,1.5324,,4.78%
2019-01-12,1.5324,1.5549,1.5599,1.5258,,-1.52%
2019-01-11,1.556,1.5808,1.5925,1.5523,,-1.51%
2019-01-10,1.5799,1.5999,1.6149,1.5705,,-1.19%
2019-01-09,1.599,1.6049,1.6142,1.5612,,-0.08%
2019-01-08,1.6003,1.5339,1.6224,1.5285,,4.37%
2019-01-07,1.5333,1.523,1.5374,1.4984,,0.62%
2019-01-06,1.5238,1.528,1.5578,1.5145,,-0.26%
2019-01-05,1.5278,1.47,1.5311,1.4688,,3.97%
2019-01-04,1.4694,1.4757,1.4888,1.4643,,-0.44%
2019-01-03,1.4759,1.4716,1.4842,1.4442,,0.36%
2019-01-02,1.4706,1.4541,1.4852,1.4456,,1.20%
2019-01-01,1.4531,1.5163,1.5342,1.4509,,-4.12%
2018-01-12,1.5155,1.4495,1.5242,1.4407,,4.27%
2018-01-11,1.4535,1.5214,1.5228,1.4512,,-4.41%
2018-01-10,1.5206,1.5385,1.5699,1.5136,,-1.11%
2018-01-09,1.5376,1.5588,1.5841,1.536,,-1.27%
2018-01-08,1.5573,1.4813,1.5615,1.4799,,5.20%
2018-01-07,1.4803,1.4895,1.5035,1.4669,,-0.70%
2018-01-06,1.4907,1.4493,1.4925,1.4325,,2.91%
2018-01-05,1.4486,1.4342,1.4713,1.4189,,1.03%
2018-01-04,1.4338,1.448,1.4546,1.4038,,-0.91%
2018-01-03,1.447,1.4679,1.4822,1.4373,,-1.38%
2018-01-02,1.4672,1.4578,1.4841,1.4484,,0.69%
2018-01-01,1.4571,1.4482,1.4653,1.4088,,0.64%
2017-01-12,1.4479,1.4884,1.4914,1.4271,,-2.66%
2017-01-11,1.4874,1.4639,1.4895,1.4326,,1.66%
2017-01-10,1.4631,1.4323,1.4736,1.4222,,2.14%
2017-01-09,1.4324,1.4527,1.4611,1.3987,,-1.36%
2017-01-08,1.4522,1.3766,1.4576,1.3738,,5.57%
2017-01-07,1.3756,1.4242,1.4389,1.3707,,-3.29%
2017-01-06,1.4224,1.4588,1.4634,1.3999,,-2.44%
2017-01-05,1.4579,1.4631,1.4874,1.4257,,-0.30%
2017-01-04,1.4623,1.4213,1.4721,1.4153,,2.83%
2017-01-03,1.422,1.3824,1.4471,1.3811,,2.91%
2017-01-02,1.3818,1.3826,1.3967,1.3649,,0.04%
2017-01-01,1.3812,1.4147,1.4193,1.3676,,-2.14%
2016-01-12,1.4114,1.3884,1.4248,1.3664,,1.78%
2016-01-11,1.3867,1.4141,1.4389,1.3738,,-1.85%
2016-01-10,1.4129,1.4157,1.4404,1.391,,0.11%
2016-01-09,1.4113,1.4021,1.4317,1.3787,,0.75%
2016-01-08,1.4008,1.4331,1.445,1.3968,,-2.00%
2016-01-07,1.4294,1.4361,1.4578,1.3824,,-0.42%
2016-01-06,1.4354,1.488,1.4946,1.4241,,-3.42%
2016-01-05,1.4863,1.4956,1.5302,1.4825,,-0.46%
2016-01-04,1.4932,1.5048,1.5482,1.4719,,-0.61%
2016-01-03,1.5024,1.5195,1.5398,1.4677,,-1.05%
2016-01-02,1.5183,1.5082,1.5693,1.4819,,0.98%
2016-01-01,1.5035,1.4622,1.5761,1.4555,,2.99%
2015-01-12,1.4599,1.4765,1.5401,1.4528,,-1.05%
2015-01-11,1.4754,1.4937,1.5358,1.4732,,-1.06%
2015-01-10,1.4912,1.6071,1.618,1.4901,,-7.12%
2015-01-09,1.6055,1.6311,1.6512,1.5886,,-1.52%
2015-01-08,1.6302,1.5709,1.7239,1.5313,,4.03%
2015-01-07,1.567,1.5804,1.6133,1.5398,,-0.79%
2015-01-06,1.5795,1.4969,1.5941,1.4821,,5.68%
2015-01-05,1.4946,1.4075,1.5012,1.4051,,6.21%
2015-01-04,1.4072,1.3763,1.4097,1.3411,,2.29%
2015-01-03,1.3757,1.3815,1.3941,1.3348,,-0.71%
2015-01-02,1.3856,1.5001,1.505,1.3845,,-7.22%
2015-01-01,1.4934,1.2894,1.7287,1.2508,,15.87%
2014-01-12,1.2889,1.3213,1.3468,1.2862,,-2.17%
2014-01-11,1.3175,1.3381,1.3522,1.3007,,-1.04%
2014-01-10,1.3314,1.3407,1.3487,1.3181,,-0.67%
2014-01-09,1.3404,1.3049,1.3628,1.2873,,3.01%
2014-01-08,1.3012,1.2946,1.3137,1.2892,,0.59%
2014-01-07,1.2936,1.2876,1.3007,1.268,,0.51%
2014-01-06,1.2871,1.3147,1.3283,1.2723,,-2.02%
2014-01-05,1.3137,1.3182,1.3286,1.2885,,-0.29%
2014-01-04,1.3175,1.3028,1.3358,1.2984,,1.17%
2014-01-03,1.3022,1.3563,1.3632,1.2921,,-3.80%
2014-01-02,1.3536,1.3633,1.3774,1.3265,,-0.66%
2014-01-01,1.3626,1.3627,1.3711,1.3147,,0.01%
2013-01-12,1.3625,1.3588,1.3905,1.3379,,0.46%
2013-01-11,1.3562,1.3348,1.3672,1.2935,,1.66%
2013-01-10,1.3341,1.3331,1.355,1.2954,,0.14%
2013-01-09,1.3323,1.3878,1.3882,1.3017,,-4.16%
2013-01-08,1.3902,1.3519,1.4071,1.3206,,2.87%
2013-01-07,1.3514,1.3671,1.3729,1.3041,,-1.13%
2013-01-06,1.3669,1.312,1.3971,1.2986,,3.74%
2013-01-05,1.3176,1.2578,1.3191,1.2481,,4.77%
2013-01-04,1.2576,1.2588,1.2826,1.2366,,0.04%
2013-01-03,1.2571,1.2936,1.2959,1.2498,,-2.57%
2013-01-02,1.2903,1.3089,1.3202,1.271,,-1.35%
2013-01-01,1.308,1.3182,1.3232,1.2704,,-0.77%
2012-01-12,1.3182,1.3122,1.3437,0.7612,,0.34%
2012-01-11,1.3137,1.3053,1.3187,1.2749,,0.68%
2012-01-10,1.3048,1.2825,1.3294,1.2791,,2.03%
2012-01-09,1.2788,1.3085,1.3231,1.2783,,-1.83%
2012-01-08,1.3026,1.2659,1.3113,1.2451,,2.87%
2012-01-07,1.2662,1.3169,1.3178,1.2581,,-3.58%
2012-01-06,1.3132,1.3664,1.3784,1.3052,,-3.84%
2012-01-05,1.3656,1.3468,1.4137,1.3432,,1.42%
2012-01-04,1.3465,1.345,1.3563,1.3145,,-0.50%
2012-01-03,1.3532,1.3247,1.3609,1.311,,2.14%
2012-01-02,1.3248,1.3157,1.341,1.2902,,0.68%
2012-01-01,1.3159,1.369,1.3737,1.3123,,-3.84%
2011-01-12,1.3685,1.4017,1.4191,1.364,,-2.36%
2011-01-11,1.4016,1.4116,1.4726,1.3872,,-0.75%
2011-01-10,1.4122,1.4411,1.4499,1.3878,,-2.31%
2011-01-09,1.4456,1.452,1.5412,1.3533,,-0.40%
2011-01-08,1.4514,1.4333,1.7428,1.4237,,0.35%
2011-01-07,1.4464,1.4345,1.4772,1.4036,,0.86%
2011-01-06,1.4341,1.4225,1.4974,1.4187,,1.04%
2011-01-05,1.4194,1.4268,1.4844,1.415,,-0.34%
2011-01-04,1.4242,1.4294,1.4364,1.3929,,-0.27%
2011-01-03,1.428,1.4299,1.5641,1.4133,,-0.09%
2011-01-02,1.4293,1.3703,1.452,1.3367,,4.11%
2011-01-01,1.3729,1.3765,1.396,1.3342,,0.06%
2010-01-12,1.3721,1.3398,1.4391,1.32,,2.38%
2010-01-11,1.3402,1.3283,1.353,1.2847,,0.99%
2010-01-10,1.3271,1.3856,1.3972,1.3259,,-4.24%
