Date,Price,Open,High,Low,Vol.,Change %
2024-01-11,12.3693,12.3342,12.5469,12.2349,,0.41%
2024-01-10,12.3183,12.0674,12.3661,12.0214,,2.58%
2024-01-09,12.0083,12.068,12.2822,11.8892,,-0.50%
2024-01-08,12.0683,12.1597,12.6418,11.9071,,-0.75%
2024-01-07,12.1597,11.784,12.3671,11.6031,,3.23%
2024-01-06,11.7793,11.6565,11.8926,11.5358,,1.09%
2024-01-05,11.6528,11.9928,12.0448,11.5582,,-2.76%
2024-01-04,11.9836,11.805,12.2376,11.6357,,1.52%
2024-01-03,11.8041,11.7268,11.9173,11.5848,,0.74%
2024-01-02,11.7172,12.0595,12.2029,11.6645,,-2.82%
2024-01-01,12.0577,11.9621,12.1755,11.8765,,0.84%
2023-01-12,11.9575,11.995,12.0253,11.6573,,-0.26%
2023-01-11,11.9886,12.2741,12.3611,11.7226,,-2.25%
2023-01-10,12.2648,11.9333,12.4941,11.9143,,2.80%
2023-01-09,11.9313,12.4024,12.5478,11.8693,,-3.72%
2023-01-08,12.3921,12.0718,12.5373,12.0485,,2.75%
2023-01-07,12.0605,12.0563,12.2625,11.8289,,0.23%
2023-01-06,12.033,11.9212,12.1286,11.7631,,1.03%
2023-01-05,11.9105,11.4776,12.0417,11.3864,,3.92%
2023-01-04,11.4608,11.3668,11.6378,11.288,,1.08%
2023-01-03,11.3388,11.1118,11.7889,11.0637,,2.14%
2023-01-02,11.1012,11.418,11.5379,11.0608,,-2.72%
2023-01-01,11.412,11.2732,11.4494,11.0256,,1.40%
2022-01-12,11.2541,11.1004,11.3574,10.9496,,1.50%
2022-01-11,11.0882,11.0212,11.2493,10.8787,,0.75%
2022-01-10,11.0062,11.2201,11.4307,10.9656,,-1.81%
2022-01-09,11.2095,10.9017,11.6549,10.878,,2.88%
2022-01-08,10.8958,10.6952,11.1587,10.5691,,2.29%
2022-01-07,10.652,10.7029,10.8924,10.4658,,-0.42%
2022-01-06,10.6971,10.176,10.8018,9.9904,,5.31%
2022-01-05,10.158,10.0681,10.3343,9.9504,,0.73%
2022-01-04,10.0848,10.1831,10.2444,9.8847,,-0.98%
2022-01-03,10.1841,10.3484,10.8818,9.929,,-1.54%
2022-01-02,10.3434,10.0547,10.4426,9.8279,,2.95%
2022-01-01,10.0466,9.9185,10.2128,9.7543,,1.43%
2021-01-12,9.9049,9.8194,9.9977,9.7733,,0.93%
2021-01-11,9.8139,9.3808,9.9354,9.3231,,4.67%
2021-01-10,9.3763,9.4002,9.512,9.3036,,-0.24%
2021-01-09,9.3985,9.4264,9.4428,9.2802,,-0.24%
2021-01-08,9.4207,9.4947,9.6472,9.3758,,-0.60%
2021-01-07,9.4775,9.2483,9.5186,9.2316,,2.54%
2021-01-06,9.2426,9.2255,9.3912,9.1741,,0.22%
2021-01-05,9.2219,9.2678,9.3404,9.1837,,-0.49%
2021-01-04,9.2669,9.2524,9.3121,9.1367,,0.21%
2021-01-03,9.2479,9.2903,9.3218,9.0933,,-0.37%
2021-01-02,9.2825,9.369,9.4253,9.0553,,-1.10%
2021-01-01,9.3857,9.2771,9.4745,9.1782,,1.17%
2020-01-12,9.277,9.4265,9.571,9.2221,,-1.60%
2020-01-11,9.4276,9.7163,9.774,9.3344,,-2.66%
2020-01-10,9.6852,9.7263,9.8051,9.58,,-0.37%
2020-01-09,9.7216,9.5688,9.8833,9.5055,,1.65%
2020-01-08,9.564,9.6075,9.6953,9.474,,-0.40%
2020-01-07,9.6025,9.8433,9.9073,9.467,,-2.38%
2020-01-06,9.8362,9.8109,9.9746,9.5023,,0.52%
2020-01-05,9.7852,10.1042,10.3368,9.7757,,-3.15%
2020-01-04,10.1038,10.3118,10.4704,10.0574,,-1.68%
2020-01-03,10.2767,9.9727,10.7758,9.8278,,3.41%
2020-01-02,9.9378,9.9932,10.0985,9.8184,,-0.54%
2020-01-01,9.9918,9.6776,10.0133,9.6091,,3.33%
2019-01-12,9.6695,9.5694,9.6971,9.4573,,1.06%
2019-01-11,9.5679,9.7845,9.8664,9.531,,-2.17%
2019-01-10,9.78,9.862,10.0289,9.6475,,-0.80%
2019-01-09,9.8585,9.9229,9.994,9.6938,,-0.56%
2019-01-08,9.9139,9.7107,9.9591,9.7,,2.12%
2019-01-07,9.7082,9.5103,9.7435,9.4237,,2.13%
2019-01-06,9.5058,9.4841,9.6188,9.4453,,0.24%
2019-01-05,9.4827,9.3143,9.6034,9.3046,,1.86%
2019-01-04,9.3094,9.3361,9.3716,9.1421,,-0.29%
2019-01-03,9.3365,9.2511,9.41,9.1828,,0.95%
2019-01-02,9.2487,9.1007,9.3682,9.0719,,1.68%
2019-01-01,9.0956,9.0211,9.1769,9.0099,,0.88%
2018-01-12,9.0165,9.115,9.2252,8.9688,,-1.06%
2018-01-11,9.1132,9.0893,9.1524,8.9355,,0.30%
2018-01-10,9.0856,9.052,9.2441,8.9594,,0.42%
2018-01-09,9.0473,9.4428,9.4478,9.0169,,-4.15%
2018-01-08,9.4391,8.8789,9.4582,8.8577,,6.38%
2018-01-07,8.8734,9.0313,9.0754,8.7806,,-1.69%
2018-01-06,9.0259,8.9405,9.0595,8.7087,,0.98%
2018-01-05,8.9383,8.8291,9.097,8.5775,,1.26%
2018-01-04,8.8271,8.7442,8.8535,8.6323,,1.05%
2018-01-03,8.7357,8.7774,8.8427,8.5688,,-0.43%
2018-01-02,8.7736,8.4591,8.8087,8.4362,,3.76%
2018-01-01,8.4557,8.4178,8.4736,8.2974,,0.46%
2017-01-12,8.4172,8.5141,8.6043,8.3698,,-1.11%
2017-01-11,8.5117,8.3967,8.588,8.364,,1.42%
2017-01-10,8.3928,8.4114,8.4367,8.2503,,-0.23%
2017-01-09,8.412,8.2805,8.4447,8.1978,,1.62%
2017-01-08,8.2781,8.344,8.5421,8.2588,,-0.75%
2017-01-07,8.3407,8.791,8.8648,8.3379,,-5.14%
2017-01-06,8.7923,8.9781,9.0442,8.7795,,-2.02%
2017-01-05,8.9738,8.9029,8.9956,8.7733,,0.91%
2017-01-04,8.8927,8.9384,9.1019,8.8002,,-0.51%
2017-01-03,8.9385,8.983,8.9925,8.8083,,-0.48%
2017-01-02,8.9813,8.8369,9.0003,8.7925,,1.68%
2017-01-01,8.8331,8.9332,8.9516,8.8011,,-1.17%
2016-01-12,8.9379,9.0722,9.1768,8.8795,,-1.38%
