Date,Price,Open,High,Low,Vol.,Change %
2024-01-11,1.5892,1.6137,1.6139,1.561,,-1.47%
2024-01-10,1.6128,1.5995,1.6145,1.578,,0.86%
2024-01-09,1.5991,1.5867,1.6151,1.5805,,0.78%
2024-01-08,1.5867,1.5726,1.6502,1.5694,,0.90%
2024-01-07,1.5725,1.5217,1.5771,1.5073,,3.37%
2024-01-06,1.5212,1.5107,1.5541,1.5085,,0.74%
2024-01-05,1.5101,1.4984,1.5164,1.4908,,0.81%
2024-01-04,1.498,1.5012,1.5314,1.4875,,-0.15%
2024-01-03,1.5003,1.5351,1.5409,1.4977,,-2.21%
2024-01-02,1.5342,1.5595,1.5654,1.5242,,-1.62%
2024-01-01,1.5594,1.5739,1.5812,1.5441,,-0.88%
2023-01-12,1.5732,1.5495,1.5868,1.5349,,1.59%
2023-01-11,1.5486,1.5238,1.5613,1.5146,,1.64%
2023-01-10,1.5236,1.4832,1.5418,1.4809,,2.72%
2023-01-09,1.4832,1.5293,1.5407,1.4638,,-2.98%
2023-01-08,1.5288,1.5128,1.5484,1.5114,,1.09%
2023-01-07,1.5123,1.4788,1.5432,1.4724,,2.34%
2023-01-06,1.4777,1.4902,1.4951,1.4634,,-0.83%
2023-01-05,1.49,1.5146,1.5443,1.4854,,-1.65%
2023-01-04,1.515,1.4774,1.5388,1.4681,,2.58%
2023-01-03,1.4769,1.4484,1.5164,1.4418,,2.02%
2023-01-02,1.4477,1.4519,1.4657,1.4414,,-0.29%
2023-01-01,1.4519,1.4656,1.4771,1.4337,,-0.90%
2022-01-12,1.4651,1.4178,1.4761,1.4175,,3.37%
2022-01-11,1.4173,1.3606,1.4351,1.3468,,4.20%
2022-01-10,1.3602,1.4004,1.403,1.3589,,-2.88%
2022-01-09,1.4005,1.3435,1.4061,1.3314,,4.31%
2022-01-08,1.3426,1.3467,1.3719,1.3322,,-0.11%
2022-01-07,1.3441,1.3475,1.354,1.3189,,-0.24%
2022-01-06,1.3474,1.3182,1.3594,1.2817,,2.26%
2022-01-05,1.3176,1.3245,1.3412,1.2797,,-0.20%
2022-01-04,1.3203,1.3548,1.3592,1.3075,,-2.50%
2022-01-03,1.3542,1.3829,1.3917,1.3309,,-2.03%
2022-01-02,1.3822,1.3706,1.3949,1.3657,,0.91%
2022-01-01,1.3698,1.3847,1.395,1.3566,,-1.05%
2021-01-12,1.3844,1.3907,1.4092,1.3637,,-0.41%
2021-01-11,1.3901,1.354,1.3958,1.3464,,2.80%
2021-01-10,1.3523,1.3608,1.3693,1.3338,,-0.60%
2021-01-09,1.3604,1.3788,1.3924,1.3541,,-1.28%
2021-01-08,1.378,1.378,1.411,1.3534,,0.09%
2021-01-07,1.3767,1.3403,1.3943,1.3356,,2.78%
2021-01-06,1.3395,1.3419,1.3584,1.3358,,-0.10%
2021-01-05,1.3408,1.3453,1.3525,1.3289,,-0.31%
2021-01-04,1.345,1.3313,1.378,1.3278,,1.08%
2021-01-03,1.3306,1.4006,1.4053,1.3283,,-5.09%
2021-01-02,1.402,1.4353,1.4379,1.3745,,-2.28%
2021-01-01,1.4347,1.4383,1.4524,1.4167,,-0.20%
2020-01-12,1.4376,1.4302,1.4575,1.4279,,0.55%
2020-01-11,1.4297,1.4547,1.4578,1.4178,,-1.54%
2020-01-10,1.4521,1.4462,1.467,1.4331,,0.46%
2020-01-09,1.4455,1.4432,1.4581,1.4262,,0.16%
2020-01-08,1.4432,1.4679,1.4713,1.4405,,-1.76%
2020-01-07,1.469,1.4332,1.4825,1.4274,,2.53%
2020-01-06,1.4327,1.4323,1.4484,1.388,,0.05%
2020-01-05,1.432,1.444,1.4701,1.4147,,-0.82%
2020-01-04,1.4438,1.4631,1.4784,1.4215,,-1.29%
2020-01-03,1.4627,1.3888,1.5145,1.3791,,5.44%
2020-01-02,1.3873,1.3743,1.3995,1.3428,,0.98%
2020-01-01,1.3738,1.3418,1.3753,1.3321,,2.45%
2019-01-12,1.3409,1.3276,1.3503,1.3264,,1.05%
2019-01-11,1.327,1.3344,1.347,1.3205,,-0.49%
2019-01-10,1.3336,1.3268,1.3455,1.3089,,0.55%
2019-01-09,1.3263,1.345,1.3555,1.3218,,-1.32%
2019-01-08,1.344,1.3271,1.3765,1.3239,,1.31%
2019-01-07,1.3266,1.3412,1.3415,1.3135,,-1.04%
2019-01-06,1.3406,1.3508,1.3602,1.334,,-0.67%
2019-01-05,1.3496,1.3132,1.3528,1.3117,,2.80%
2019-01-04,1.3128,1.3416,1.3446,1.3096,,-2.06%
2019-01-03,1.3404,1.3195,1.3548,1.3124,,1.65%
2019-01-02,1.3186,1.3198,1.3307,1.3078,,-0.03%
2019-01-01,1.319,1.3892,1.3901,1.3188,,-5.04%
2018-01-12,1.389,1.3273,1.3937,1.3175,,4.40%
2018-01-11,1.3305,1.3043,1.3388,1.3005,,2.06%
2018-01-10,1.3037,1.3137,1.3245,1.295,,-0.76%
2018-01-09,1.3137,1.3459,1.3672,1.3138,,-2.34%
2018-01-08,1.3452,1.3135,1.3506,1.3019,,2.45%
2018-01-07,1.313,1.3265,1.3296,1.3083,,-0.88%
2018-01-06,1.3247,1.3146,1.3517,1.3011,,0.81%
