Date,Price,Open,High,Low,Vol.,Change %
2024-01-11,1.0727,1.0639,1.0861,1.0581,,0.86%
2024-01-10,1.0635,1.0646,1.0711,1.0604,,0.15%
2024-01-09,1.0619,1.0643,1.0743,1.0513,,-0.23%
2024-01-08,1.0644,1.0518,1.0856,1.0432,,1.19%
2024-01-07,1.0519,1.0368,1.0534,1.0221,,1.36%
2024-01-06,1.0378,1.0211,1.0553,1.0199,,1.56%
2024-01-05,1.0219,1.0196,1.0281,1.0068,,0.26%
2024-01-04,1.0193,1.0268,1.0455,1.0151,,-0.73%
2024-01-03,1.0268,1.0463,1.0469,1.0181,,-1.82%
2024-01-02,1.0458,1.073,1.0768,1.0458,,-2.52%
2024-01-01,1.0728,1.0764,1.079,1.0553,,-0.31%
2023-01-12,1.0761,1.0493,1.0808,1.0473,,2.58%
2023-01-11,1.049,1.0387,1.056,1.0317,,1.06%
2023-01-10,1.038,1.034,1.0621,1.0324,,0.46%
2023-01-09,1.0332,1.0444,1.0505,1.0313,,-1.01%
2023-01-08,1.0437,1.0431,1.0513,1.0359,,0.11%
2023-01-07,1.0426,1.0235,1.0505,1.0196,,1.93%
2023-01-06,1.0229,1.0272,1.0328,1.0158,,-0.38%
2023-01-05,1.0268,1.0133,1.0342,1.0119,,1.24%
2023-01-04,1.0142,1.0077,1.023,1.0026,,0.64%
2023-01-03,1.0078,1.0034,1.0305,0.9954,,0.50%
2023-01-02,1.0028,1.0046,1.0164,0.9962,,-0.16%
2023-01-01,1.0044,1.0105,1.0173,0.9901,,-0.55%
2022-01-12,1.01,1.0158,1.0217,1.0069,,-0.53%
2022-01-11,1.0154,1.0107,1.0296,1.006,,0.54%
2022-01-10,1.0099,1.0333,1.0373,1.0041,,-2.26%
2022-01-09,1.0333,1.0173,1.0616,1.0131,,1.64%
2022-01-08,1.0166,1.0285,1.047,1.0165,,-1.09%
2022-01-07,1.0278,0.999,1.0314,0.995,,2.94%
2022-01-06,0.9984,0.9711,1.0057,0.9508,,2.86%
2022-01-05,0.9706,0.9736,0.9779,0.9507,,-0.34%
2022-01-04,0.9739,0.9793,0.9915,0.9635,,-0.50%
2022-01-03,0.9788,0.9722,1.003,0.961,,0.73%
2022-01-02,0.9717,0.96,0.9732,0.9416,,1.27%
2022-01-01,0.9595,0.9649,0.9711,0.9511,,-0.43%
2021-01-12,0.9636,0.9598,0.9686,0.9552,,0.43%
2021-01-11,0.9595,0.9438,0.9627,0.9427,,1.64%
2021-01-10,0.944,0.9267,0.9463,0.9245,,1.91%
2021-01-09,0.9263,0.9255,0.9274,0.9139,,0.15%
2021-01-08,0.9249,0.9308,0.9351,0.9222,,-0.54%
2021-01-07,0.9299,0.9115,0.9311,0.91,,2.03%
2021-01-06,0.9114,0.9093,0.9204,0.9087,,0.20%
2021-01-05,0.9096,0.9099,0.9154,0.9067,,-0.09%
2021-01-04,0.9104,0.9035,0.9115,0.8992,,0.81%
2021-01-03,0.9031,0.9114,0.9144,0.8964,,-0.89%
2021-01-02,0.9112,0.9255,0.9273,0.9008,,-1.50%
2021-01-01,0.9251,0.9236,0.9313,0.9197,,0.08%
2020-01-12,0.9244,0.9221,0.9316,0.9178,,0.29%
2020-01-11,0.9217,0.9355,0.9384,0.9197,,-1.52%
2020-01-10,0.9359,0.9265,0.9373,0.9251,,1.06%
2020-01-09,0.9261,0.927,0.9324,0.919,,-0.08%
2020-01-08,0.9268,0.9297,0.933,0.9215,,-0.30%
2020-01-07,0.9296,0.9398,0.9431,0.9225,,-1.05%
2020-01-06,0.9395,0.9372,0.9414,0.9157,,0.27%
2020-01-05,0.937,0.9451,0.9527,0.9317,,-0.85%
2020-01-04,0.945,0.9434,0.952,0.9419,,0.21%
2020-01-03,0.943,0.9412,0.952,0.9336,,0.42%
2020-01-02,0.9391,0.9347,0.9449,0.9319,,0.38%
2020-01-01,0.9355,0.9213,0.9378,0.9191,,1.57%
2019-01-12,0.921,0.9075,0.9229,0.9057,,1.52%
2019-01-11,0.9072,0.9089,0.9207,0.9061,,-0.15%
2019-01-10,0.9086,0.9193,0.9218,0.904,,-1.12%
2019-01-09,0.9189,0.9194,0.9251,0.9074,,0.03%
2019-01-08,0.9186,0.9083,0.9231,0.9072,,1.17%
2019-01-07,0.908,0.9009,0.9123,0.8949,,0.82%
2019-01-06,0.9006,0.8946,0.9045,0.8874,,0.85%
2019-01-05,0.893,0.8748,0.8953,0.8738,,2.10%
2019-01-04,0.8746,0.8956,0.8961,0.8711,,-2.32%
2019-01-03,0.8954,0.8809,0.896,0.878,,1.67%
2019-01-02,0.8807,0.8786,0.8845,0.8735,,0.27%
2019-01-01,0.8783,0.8885,0.8943,0.8741,,-1.07%
2018-01-12,0.8878,0.8849,0.894,0.8807,,0.40%
2018-01-11,0.8843,0.8766,0.8882,0.8713,,0.92%
2018-01-10,0.8762,0.8772,0.8841,0.8693,,-0.07%
2018-01-09,0.8768,0.8902,0.8944,0.8758,,-1.39%
2018-01-08,0.8892,0.8637,0.8902,0.8616,,2.98%
2018-01-07,0.8635,0.8664,0.8675,0.8533,,0.03%
2018-01-06,0.8632,0.8676,0.8713,0.8576,,-0.48%
2018-01-05,0.8674,0.8355,0.8798,0.8345,,3.84%
2018-01-04,0.8353,0.8505,0.8522,0.8327,,-1.71%
2018-01-03,0.8498,0.8681,0.87,0.8471,,-2.07%
2018-01-02,0.8678,0.8648,0.8735,0.8589,,0.43%
2018-01-01,0.8641,0.8551,0.8666,0.8449,,1.04%
2017-01-12,0.8552,0.854,0.8633,0.849,,0.18%
2017-01-11,0.8537,0.8607,0.8665,0.8528,,-0.77%
2017-01-10,0.8603,0.874,0.8783,0.8535,,-1.56%
2017-01-09,0.8739,0.8758,0.8815,0.8601,,-0.19%
2017-01-08,0.8756,0.8737,0.8883,0.8665,,0.30%
2017-01-07,0.873,0.9137,0.9157,0.8727,,-4.37%
2017-01-06,0.9129,0.9191,0.9233,0.9127,,-0.62%
2017-01-05,0.9186,0.9212,0.9268,0.9099,,-0.35%
2017-01-04,0.9218,0.9351,0.9387,0.9197,,-1.45%
2017-01-03,0.9354,0.9401,0.9405,0.9237,,-0.45%
2017-01-02,0.9396,0.9361,0.9413,0.9327,,0.41%
2017-01-01,0.9358,0.9324,0.9404,0.9291,,0.31%
2016-01-12,0.9329,0.9287,0.937,0.917,,0.55%
2016-01-11,0.9278,0.9209,0.9363,0.9192,,0.81%
2016-01-10,0.9203,0.916,0.9265,0.9105,,0.55%
2016-01-09,0.9153,0.9109,0.9255,0.9086,,0.57%
2016-01-08,0.9101,0.9226,0.9268,0.9095,,-1.37%
2016-01-07,0.9227,0.9225,0.9271,0.9122,,0.05%
2016-01-06,0.9222,0.9041,0.942,0.8997,,2.05%
2016-01-05,0.9037,0.9114,0.9128,0.8982,,-0.60%
2016-01-04,0.9092,0.9136,0.9225,0.907,,-0.41%
2016-01-03,0.9129,0.9212,0.9248,0.9064,,-0.83%
2016-01-02,0.9205,0.9022,0.9252,0.8923,,2.14%
2016-01-01,0.9012,0.9189,0.924,0.8953,,-1.89%
2015-01-12,0.9186,0.9199,0.9316,0.9133,,-0.14%
2015-01-11,0.9199,0.9196,0.9319,0.9147,,0.08%
2015-01-10,0.9192,0.9194,0.9305,0.91,,0.04%
2015-01-09,0.9188,0.9221,0.9263,0.9042,,-0.33%
2015-01-08,0.9218,0.9437,0.9446,0.9119,,-2.09%
2015-01-07,0.9415,0.9595,0.9684,0.9345,,-1.87%
2015-01-06,0.9594,0.968,0.9747,0.9448,,-0.86%
2015-01-05,0.9677,0.9555,0.9731,0.9511,,1.33%
2015-01-04,0.955,0.9578,0.9773,0.9495,,-0.30%
2015-01-03,0.9579,0.9372,0.9603,0.9289,,2.29%
2015-01-02,0.9365,0.9621,0.9625,0.9246,,-2.55%
2015-01-01,0.961,0.8314,1.1495,0.83,,15.63%
2014-01-12,0.8311,0.8315,0.8349,0.8265,,-0.01%
2014-01-11,0.8312,0.8296,0.8343,0.8277,,0.28%
2014-01-10,0.8289,0.8288,0.8308,0.8228,,0.05%
2014-01-09,0.8285,0.8299,0.8314,0.8245,,-0.06%
2014-01-08,0.829,0.822,0.8301,0.8209,,0.88%
2014-01-07,0.8218,0.8235,0.8255,0.8206,,-0.19%
2014-01-06,0.8234,0.8189,0.8241,0.8176,,0.49%
2014-01-05,0.8194,0.8191,0.8232,0.8169,,0.06%
2014-01-04,0.8189,0.8208,0.8238,0.8159,,-0.21%
2014-01-03,0.8206,0.8243,0.8264,0.8171,,-0.28%
2014-01-02,0.8229,0.8177,0.8256,0.8153,,0.66%
2014-01-01,0.8175,0.8146,0.8192,0.806,,0.39%
2013-01-12,0.8143,0.8119,0.822,0.811,,0.32%
2013-01-11,0.8117,0.8119,0.8145,0.8044,,0.01%
2013-01-10,0.8116,0.817,0.8188,0.8076,,-0.62%
2013-01-09,0.8167,0.8126,0.8192,0.8049,,0.46%
2013-01-08,0.813,0.8116,0.8151,0.8037,,0.22%
2013-01-07,0.8112,0.8136,0.8145,0.8019,,-0.27%
2013-01-06,0.8134,0.8076,0.8187,0.8002,,1.04%
2013-01-05,0.805,0.8173,0.8202,0.7903,,-1.48%
2013-01-04,0.8171,0.8217,0.8248,0.8095,,-0.50%
2013-01-03,0.8212,0.8177,0.8227,0.8062,,0.53%
2013-01-02,0.8169,0.809,0.8252,0.8052,,1.01%
2013-01-01,0.8087,0.8281,0.8288,0.7954,,-2.30%
2012-01-12,0.8277,0.8299,0.8306,0.8215,,-0.23%
2012-01-11,0.8296,0.8285,0.8323,0.8262,,0.18%
2012-01-10,0.8281,0.8275,0.8292,0.8219,,0.11%
2012-01-09,0.8272,0.8328,0.8335,0.8203,,-0.58%
2012-01-08,0.832,0.8324,0.8343,0.8284,,-0.04%
2012-01-07,0.8323,0.8323,0.8342,0.8302,,-0.01%
2012-01-06,0.8324,0.8327,0.8345,0.8298,,0.04%
2012-01-05,0.8321,0.8324,0.8355,0.8278,,0.00%
2012-01-04,0.8321,0.8314,0.8338,0.8293,,0.22%
2012-01-03,0.8303,0.8295,0.8315,0.823,,0.10%
2012-01-02,0.8295,0.8303,0.8315,0.8241,,-0.08%
2012-01-01,0.8302,0.823,0.8315,0.8194,,0.83%
2011-01-12,0.8234,0.8145,0.8244,0.8034,,1.14%
2011-01-11,0.8141,0.8223,0.8257,0.8023,,-0.96%
2011-01-10,0.822,0.8236,0.8251,0.8015,,-0.04%
2011-01-09,0.8223,0.8618,0.9094,0.8099,,-4.68%
2011-01-08,0.8627,0.8779,0.9909,0.8352,,-2.39%
2011-01-07,0.8838,0.8199,0.8852,0.8096,,7.81%
2011-01-06,0.8198,0.8126,0.8472,0.8112,,0.82%
2011-01-05,0.8131,0.7791,0.8265,0.7722,,4.30%
2011-01-04,0.7796,0.7679,0.7861,0.7552,,1.51%
2011-01-03,0.768,0.7797,0.8013,0.7666,,-1.46%
2011-01-02,0.7794,0.7731,0.7872,0.757,,0.76%
2011-01-01,0.7735,0.8005,0.8058,0.7616,,-3.28%
2010-01-12,0.7997,0.7668,0.8184,0.7568,,4.34%
2010-01-11,0.7664,0.7288,0.7734,0.7222,,5.06%
2010-01-10,0.7295,0.7459,0.7541,0.7276,,-2.28%
2010-01-09,0.7465,0.7762,0.7836,0.7455,,-3.88%
2010-01-08,0.7766,0.7358,0.7784,0.7178,,5.54%
2010-01-07,0.7358,0.7591,0.7653,0.7235,,-2.98%
2010-01-06,0.7584,0.7035,0.7599,0.7029,,7.79%
2010-01-05,0.7036,0.6976,0.7169,0.6846,,0.83%
2010-01-04,0.6978,0.7023,0.7075,0.691,,-0.64%
2010-01-03,0.7023,0.6834,0.7043,0.6822,,2.75%
2010-01-02,0.6835,0.6804,0.6871,0.6751,,0.51%
2010-01-01,0.68,0.6743,0.6835,0.6711,,0.83%
2009-01-12,0.6744,0.6631,0.675,0.6601,,1.75%
2009-01-11,0.6628,0.6623,0.6664,0.6596,,0.14%
2009-01-10,0.6619,0.6597,0.6636,0.6576,,0.36%
2009-01-09,0.6595,0.6588,0.6636,0.6558,,0.09%
2009-01-08,0.6589,0.656,0.6613,0.6505,,0.34%
2009-01-07,0.6567,0.6558,0.6624,0.6514,,0.09%
2009-01-06,0.6561,0.6631,0.6668,0.65,,-0.94%
2009-01-05,0.6623,0.6631,0.6667,0.6562,,0.00%
2009-01-04,0.6623,0.6622,0.6663,0.6536,,0.02%
2009-01-03,0.6622,0.6761,0.686,0.6471,,-1.77%
2009-01-02,0.6741,0.6734,0.6804,0.6597,,0.10%
2009-01-01,0.6734,0.6684,0.6827,0.6577,,0.49%
2008-01-12,0.6701,0.6486,0.6779,0.6295,,3.28%
2008-01-11,0.6488,0.6775,0.6798,0.6437,,-4.35%
2008-01-10,0.6783,0.6322,0.6995,0.6318,,7.22%
2008-01-09,0.6326,0.6192,0.6381,0.6184,,2.23%
2008-01-08,0.6188,0.6119,0.6219,0.6116,,1.09%
2008-01-07,0.6121,0.6215,0.6255,0.6098,,-1.56%
2008-01-06,0.6218,0.6165,0.6241,0.6143,,0.79%
2008-01-05,0.6169,0.6185,0.6226,0.6104,,-0.23%
2008-01-04,0.6183,0.6374,0.6385,0.615,,-3.06%
2008-01-03,0.6378,0.6326,0.6506,0.6294,,0.82%
2008-01-02,0.6326,0.6219,0.633,0.6158,,1.62%
2008-01-01,0.6225,0.6042,0.6324,0.6036,,2.98%
2007-01-12,0.6045,0.6039,0.6081,0.597,,0.15%
2007-01-11,0.6036,0.5959,0.6136,0.5953,,1.24%
2007-01-10,0.5962,0.6014,0.6032,0.594,,-0.95%
2007-01-09,0.6019,0.6073,0.6123,0.6015,,-0.82%
2007-01-08,0.6069,0.6086,0.6183,0.6045,,-0.31%
2007-01-07,0.6088,0.6045,0.6093,0.5991,,0.71%
2007-01-06,0.6045,0.6066,0.6091,0.5996,,-0.38%
2007-01-05,0.6068,0.6068,0.6093,0.6017,,-0.02%
2007-01-04,0.6069,0.6161,0.617,0.6062,,-1.45%
2007-01-03,0.6158,0.6194,0.628,0.6143,,-0.65%
2007-01-02,0.6198,0.6166,0.6219,0.6134,,0.47%
2007-01-01,0.6169,0.6219,0.6234,0.6146,,-0.77%
2006-01-12,0.6217,0.6301,0.6308,0.6207,,-1.32%
2006-01-11,0.63,0.6296,0.6325,0.6242,,0.03%
2006-01-10,0.6298,0.6305,0.6322,0.6259,,-0.19%
2006-01-09,0.631,0.6338,0.6348,0.6259,,-0.50%
2006-01-08,0.6342,0.6362,0.6368,0.6308,,-0.30%
2006-01-07,0.6361,0.6391,0.6415,0.633,,-0.55%
2006-01-06,0.6396,0.6401,0.6458,0.6372,,-0.14%
2006-01-05,0.6405,0.6395,0.6473,0.6375,,0.27%
2006-01-04,0.6388,0.6327,0.6398,0.6304,,0.93%
2006-01-03,0.6329,0.6392,0.6419,0.6318,,-1.02%
2006-01-02,0.6394,0.6435,0.6446,0.6376,,-0.65%
2006-01-01,0.6436,0.6421,0.6492,0.6418,,0.12%
2005-01-12,0.6428,0.6449,0.6516,0.6385,,-0.36%
2005-01-11,0.6451,0.647,0.6512,0.6441,,-0.32%
2005-01-10,0.6472,0.6431,0.6487,0.6419,,0.73%
2005-01-09,0.6425,0.6465,0.6497,0.641,,-0.62%
2005-01-08,0.6465,0.6399,0.6482,0.6374,,1.03%
2005-01-07,0.6399,0.6447,0.6477,0.638,,-0.71%
2005-01-06,0.6445,0.6509,0.6542,0.6435,,-1.01%
2005-01-05,0.6511,0.6496,0.6514,0.6436,,0.20%
2005-01-04,0.6498,0.6445,0.6519,0.6415,,0.79%
2005-01-03,0.6447,0.65,0.652,0.6415,,-0.85%
2005-01-02,0.6502,0.6451,0.6517,0.6391,,0.77%
2005-01-01,0.6452,0.6468,0.6497,0.6427,,-0.23%
2004-01-12,0.6467,0.6597,0.6617,0.6448,,-2.02%
2004-01-11,0.66,0.6541,0.6669,0.6494,,0.82%
2004-01-10,0.6546,0.6453,0.6562,0.6423,,1.41%
2004-01-09,0.6455,0.6481,0.6563,0.6426,,-0.37%
2004-01-08,0.6479,0.6504,0.654,0.6451,,-0.22%
2004-01-07,0.6493,0.6563,0.6615,0.6466,,-1.10%
2004-01-06,0.6565,0.6539,0.6656,0.6517,,0.34%
2004-01-05,0.6543,0.6436,0.6559,0.6418,,1.71%
2004-01-04,0.6433,0.6412,0.6486,0.6366,,0.25%
2004-01-03,0.6417,0.6342,0.656,0.6274,,1.18%
2004-01-02,0.6342,0.6375,0.64,0.6316,,-0.53%
2004-01-01,0.6376,0.6405,0.6471,0.6351,,-0.50%
2003-01-12,0.6408,0.645,0.6479,0.6379,,-0.77%
2003-01-11,0.6458,0.6441,0.6486,0.6343,,0.28%
2003-01-10,0.644,0.6501,0.6514,0.6424,,-1.08%
2003-01-09,0.651,0.6502,0.6543,0.6394,,0.06%
2003-01-08,0.6506,0.6495,0.6544,0.6441,,0.14%
2003-01-07,0.6497,0.6432,0.6542,0.6407,,1.03%
2003-01-06,0.6431,0.6565,0.6573,0.642,,-1.64%
2003-01-05,0.6538,0.6598,0.6662,0.6515,,-0.95%
2003-01-04,0.6601,0.6779,0.6784,0.6592,,-2.63%
2003-01-03,0.6779,0.6841,0.6869,0.6734,,-0.96%
2003-01-02,0.6845,0.68,0.6858,0.6778,,0.54%
2003-01-01,0.6808,0.6893,0.6909,0.6792,,-1.25%
2002-01-12,0.6894,0.6781,0.693,0.6751,,1.68%
2002-01-11,0.678,0.6833,0.6863,0.6759,,-0.80%
2002-01-10,0.6835,0.686,0.6873,0.6786,,-0.39%
2002-01-09,0.6862,0.6815,0.6879,0.6774,,1.02%
2002-01-08,0.6793,0.6886,0.6931,0.6777,,-1.36%
2002-01-07,0.6887,0.6805,0.6929,0.6774,,1.13%
2002-01-06,0.681,0.6827,0.6842,0.6757,,-0.15%
2002-01-05,0.682,0.6866,0.6905,0.6796,,-0.71%
2002-01-04,0.6869,0.682,0.6876,0.6783,,0.73%
2002-01-03,0.6819,0.6777,0.6866,0.6742,,0.59%
2002-01-02,0.6779,0.6766,0.6809,0.6728,,0.10%
2002-01-01,0.6772,0.6758,0.684,0.6713,,0.12%
2001-01-12,0.6764,0.6793,0.6856,0.6704,,-0.46%
2001-01-11,0.6795,0.6795,0.6891,0.6764,,-0.06%
2001-01-10,0.6799,0.6763,0.6834,0.6682,,0.43%
2001-01-09,0.677,0.6615,0.6947,0.646,,2.64%
2001-01-08,0.6596,0.6605,0.666,0.6544,,-0.21%
2001-01-07,0.661,0.6557,0.6668,0.6539,,0.79%
2001-01-06,0.6558,0.658,0.662,0.6516,,-0.35%
2001-01-05,0.6581,0.649,0.6587,0.6441,,1.37%
2001-01-04,0.6492,0.6557,0.6594,0.6482,,-0.75%
2001-01-03,0.6541,0.6481,0.6591,0.6459,,0.88%
2001-01-02,0.6484,0.6525,0.6558,0.6469,,-0.70%
2001-01-01,0.653,0.6583,0.6645,0.6457,,-0.88%
2000-01-12,0.6588,0.6619,0.6675,0.6521,,-0.60%
2000-01-11,0.6628,0.6542,0.6643,0.6456,,1.19%
2000-01-10,0.655,0.6543,0.6732,0.653,,-0.18%
2000-01-09,0.6562,0.6462,0.6647,0.6383,,1.53%
2000-01-08,0.6463,0.6452,0.651,0.6377,,0.02%
2000-01-07,0.6462,0.6423,0.6492,0.6406,,0.61%
2000-01-06,0.6423,0.6342,0.6482,0.6328,,1.28%
2000-01-05,0.6342,0.6382,0.6502,0.6315,,-0.67%
