Date,Price,Open,High,Low,Vol.,Change %
2024-01-11,0.8912,0.8979,0.9002,0.881,,-0.68%
2024-01-10,0.8973,0.8866,0.899,0.8838,,1.53%
2024-01-09,0.8838,0.8959,0.907,0.8789,,-1.28%
2024-01-08,0.8953,0.8858,0.9307,0.8846,,1.07%
2024-01-07,0.8858,0.8798,0.8885,0.8594,,0.72%
2024-01-06,0.8795,0.869,0.8915,0.8687,,1.15%
2024-01-05,0.8695,0.8707,0.8835,0.8561,,-0.11%
2024-01-04,0.8705,0.8778,0.8953,0.8697,,-0.83%
2024-01-03,0.8778,0.8955,0.8961,0.8725,,-1.93%
2024-01-02,0.8951,0.9151,0.9191,0.8938,,-2.15%
2024-01-01,0.9148,0.9332,0.9356,0.9039,,-1.93%
2023-01-12,0.9328,0.905,0.9403,0.9015,,3.12%
2023-01-11,0.9046,0.9036,0.9101,0.896,,0.12%
2023-01-10,0.9035,0.8957,0.9276,0.8946,,0.90%
2023-01-09,0.8954,0.8932,0.9039,0.8914,,0.29%
2023-01-08,0.8928,0.8934,0.9046,0.8891,,-0.03%
2023-01-07,0.8931,0.8802,0.9043,0.8716,,1.66%
2023-01-06,0.8785,0.8827,0.8902,0.8689,,-0.43%
2023-01-05,0.8823,0.8899,0.9017,0.882,,-0.85%
2023-01-04,0.8899,0.8864,0.907,0.8758,,0.46%
2023-01-03,0.8858,0.8828,0.91,0.8758,,0.39%
2023-01-02,0.8824,0.886,0.9031,0.8797,,-0.37%
2023-01-01,0.8857,0.894,0.9003,0.8741,,-0.88%
2022-01-12,0.8936,0.8769,0.9013,0.8655,,1.95%
2022-01-11,0.8765,0.8706,0.9053,0.8668,,0.70%
2022-01-10,0.8704,0.9074,0.9179,0.8635,,-4.08%
2022-01-09,0.9074,0.8801,0.98,0.8772,,3.14%
2022-01-08,0.8798,0.8638,0.8864,0.854,,1.90%
2022-01-07,0.8634,0.8598,0.8679,0.8489,,0.45%
2022-01-06,0.8595,0.827,0.8668,0.8133,,3.96%
2022-01-05,0.8268,0.816,0.8345,0.8033,,1.24%
2022-01-04,0.8167,0.8249,0.8281,0.8031,,-0.96%
2022-01-03,0.8246,0.8128,0.8268,0.8049,,1.50%
2022-01-02,0.8124,0.802,0.8138,0.7934,,1.36%
2022-01-01,0.8015,0.81,0.8145,0.7928,,-1.01%
2021-01-12,0.8097,0.8184,0.8254,0.808,,-1.00%
2021-01-11,0.8179,0.7984,0.8207,0.7965,,2.60%
2021-01-10,0.7972,0.7967,0.7998,0.7833,,0.11%
2021-01-09,0.7963,0.7945,0.7998,0.7798,,0.29%
2021-01-08,0.794,0.794,0.8019,0.7814,,0.00%
2021-01-07,0.794,0.7817,0.7999,0.78,,1.61%
2021-01-06,0.7814,0.7824,0.7929,0.7776,,-0.14%
2021-01-05,0.7825,0.7917,0.7949,0.7799,,-1.20%
2021-01-04,0.792,0.769,0.7934,0.7647,,3.04%
2021-01-03,0.7686,0.7897,0.7921,0.7669,,-2.67%
2021-01-02,0.7897,0.819,0.8201,0.7753,,-3.62%
2021-01-01,0.8194,0.8262,0.8394,0.8154,,-0.75%
2020-01-12,0.8256,0.8255,0.8561,0.8227,,0.04%
2020-01-11,0.8253,0.8425,0.8482,0.8194,,-2.02%
2020-01-10,0.8423,0.8404,0.8532,0.8378,,0.27%
2020-01-09,0.84,0.8279,0.8624,0.8181,,1.55%
2020-01-08,0.8272,0.8366,0.8436,0.827,,-1.15%
2020-01-07,0.8368,0.8513,0.8547,0.8328,,-1.67%
2020-01-06,0.851,0.8428,0.8598,0.8156,,1.03%
2020-01-05,0.8423,0.8222,0.8526,0.8212,,2.44%
2020-01-04,0.8222,0.8378,0.8426,0.8192,,-1.84%
2020-01-03,0.8376,0.809,0.8997,0.8066,,3.70%
2020-01-02,0.8077,0.7854,0.8112,0.7799,,2.73%
2020-01-01,0.7862,0.779,0.7983,0.7782,,1.02%
2019-01-12,0.7783,0.7739,0.7902,0.7509,,0.71%
2019-01-11,0.7728,0.7833,0.7891,0.7721,,-1.30%
2019-01-10,0.783,0.8153,0.827,0.7756,,-3.91%
2019-01-09,0.8149,0.8316,0.8439,0.8012,,-1.87%
2019-01-08,0.8304,0.8277,0.8568,0.8266,,0.40%
2019-01-07,0.8271,0.8069,0.8321,0.8,,2.54%
2019-01-06,0.8066,0.7911,0.8105,0.7884,,2.05%
2019-01-05,0.7904,0.7527,0.7921,0.7461,,5.04%
2019-01-04,0.7525,0.7706,0.7722,0.7516,,-2.35%
2019-01-03,0.7706,0.7553,0.7742,0.7448,,2.07%
2019-01-02,0.755,0.7671,0.7781,0.7492,,-1.54%
2019-01-01,0.7668,0.7983,0.8123,0.7617,,-3.92%
2018-01-12,0.7981,0.784,0.8079,0.7821,,1.75%
2018-01-11,0.7844,0.7767,0.7888,0.7591,,1.03%
2018-01-10,0.7764,0.7814,0.7851,0.7623,,-0.60%
2018-01-09,0.7811,0.7958,0.8027,0.78,,-1.85%
2018-01-08,0.7958,0.7693,0.7994,0.7667,,3.49%
2018-01-07,0.769,0.7657,0.7744,0.7536,,0.69%
2018-01-06,0.7637,0.7628,0.7679,0.7534,,0.16%
2018-01-05,0.7625,0.7335,0.7663,0.7325,,4.08%
2018-01-04,0.7326,0.7469,0.7481,0.7216,,-1.93%
2018-01-03,0.747,0.7693,0.7775,0.7413,,-2.87%
2018-01-02,0.7691,0.7566,0.7745,0.7517,,1.69%
2018-01-01,0.7563,0.7594,0.7631,0.741,,-0.38%
2017-01-12,0.7592,0.7517,0.7612,0.7423,,1.04%
2017-01-11,0.7514,0.7546,0.772,0.7501,,-0.40%
2017-01-10,0.7544,0.7714,0.7847,0.7541,,-2.11%
2017-01-09,0.7707,0.8066,0.8102,0.7576,,-4.44%
2017-01-08,0.8065,0.7825,0.8184,0.7778,,3.08%
2017-01-07,0.7824,0.8018,0.8152,0.782,,-2.29%
2017-01-06,0.8007,0.8016,0.817,0.7972,,-0.07%
2017-01-05,0.8013,0.7758,0.8036,0.765,,3.33%
2017-01-04,0.7755,0.7949,0.8038,0.7755,,-2.31%
2017-01-03,0.7938,0.8031,0.8188,0.7938,,-1.13%
2017-01-02,0.8029,0.8037,0.8108,0.7897,,-0.05%
2017-01-01,0.8033,0.7954,0.8268,0.7896,,1.02%
2016-01-12,0.7952,0.7863,0.8086,0.7739,,1.23%
2016-01-11,0.7855,0.8257,0.8407,0.7841,,-4.83%
2016-01-10,0.8254,0.7951,0.8629,0.7939,,4.09%
2016-01-09,0.793,0.7737,0.8001,0.7617,,2.56%
2016-01-08,0.7732,0.7792,0.8036,0.7693,,-0.82%
2016-01-07,0.7796,0.7696,0.7991,0.7569,,1.33%
2016-01-06,0.7694,0.6952,0.7786,0.6906,,10.71%
2016-01-05,0.695,0.7143,0.7239,0.6841,,-2.50%
2016-01-04,0.7128,0.724,0.7457,0.7033,,-1.45%
2016-01-03,0.7233,0.7197,0.729,0.6998,,0.56%
2016-01-02,0.7193,0.6863,0.7288,0.6768,,4.93%
2016-01-01,0.6855,0.6775,0.7084,0.6737,,1.27%
2015-01-12,0.6769,0.6457,0.6856,0.6429,,4.86%
2015-01-11,0.6455,0.6561,0.6657,0.6418,,-1.54%
2015-01-10,0.6556,0.6792,0.688,0.6547,,-3.40%
2015-01-09,0.6787,0.674,0.6826,0.6611,,0.71%
2015-01-08,0.6739,0.6623,0.6849,0.6485,,1.78%
2015-01-07,0.6621,0.6804,0.6913,0.6583,,-2.65%
2015-01-06,0.6801,0.6954,0.7074,0.6755,,-2.19%
2015-01-05,0.6953,0.6985,0.724,0.6806,,-0.43%
2015-01-04,0.6983,0.6939,0.707,0.6794,,0.66%
2015-01-03,0.6937,0.679,0.705,0.6579,,2.12%
2015-01-02,0.6793,0.7196,0.7214,0.677,,-5.65%
2015-01-01,0.72,0.6457,0.8831,0.6431,,11.52%
2014-01-12,0.6456,0.6616,0.6669,0.645,,-2.39%
2014-01-11,0.6614,0.65,0.6694,0.6469,,1.93%
2014-01-10,0.6489,0.6457,0.6671,0.6435,,0.53%
2014-01-09,0.6455,0.6569,0.6679,0.6438,,-1.59%
2014-01-08,0.6559,0.6518,0.6643,0.6508,,0.66%
2014-01-07,0.6516,0.6591,0.6597,0.6478,,-1.14%
2014-01-06,0.6591,0.666,0.6681,0.6533,,-1.14%
2014-01-05,0.6667,0.6732,0.6775,0.6614,,-0.94%
2014-01-04,0.673,0.6783,0.6836,0.6708,,-0.75%
2014-01-03,0.6781,0.6786,0.6916,0.6726,,-0.01%
2014-01-02,0.6782,0.6708,0.6837,0.6676,,1.10%
2014-01-01,0.6708,0.6763,0.6794,0.661,,-0.77%
2013-01-12,0.676,0.6743,0.6956,0.6699,,0.30%
2013-01-11,0.674,0.6874,0.6891,0.6734,,-1.92%
2013-01-10,0.6872,0.6827,0.6959,0.6802,,0.69%
2013-01-09,0.6825,0.6932,0.6933,0.675,,-1.54%
2013-01-08,0.6932,0.7098,0.7121,0.6849,,-2.31%
2013-01-07,0.7096,0.6963,0.7117,0.6891,,2.00%
2013-01-06,0.6957,0.6883,0.6988,0.6815,,1.03%
2013-01-05,0.6886,0.6926,0.6939,0.6745,,-0.58%
2013-01-04,0.6926,0.6927,0.7107,0.6827,,0.03%
2013-01-03,0.6924,0.7042,0.7129,0.6907,,-1.62%
2013-01-02,0.7038,0.6928,0.716,0.6877,,1.63%
2013-01-01,0.6925,0.6727,0.6964,0.6663,,2.93%
2012-01-12,0.6728,0.6726,0.6808,0.6636,,-0.10%
2012-01-11,0.6735,0.6655,0.6749,0.6597,,1.25%
