Date,Price,Open,High,Low,Vol.,Change %
2024-01-11,169.94,176.01,176.69,169.76,,-3.43%
2024-01-10,175.98,169.86,177.31,169.4,,3.63%
2024-01-09,169.82,171.96,172.85,165.28,,-1.19%
2024-01-08,171.87,170.82,172.3,166.8,,0.63%
2024-01-07,170.8,178.98,180.11,170.35,,-4.52%
2024-01-06,178.88,174.18,179.3,173.2,,2.60%
2024-01-05,174.34,171.63,174.4,167.47,,1.60%
2024-01-04,171.6,167.76,175.1,166.74,,2.30%
2024-01-03,167.74,169.55,170.86,166.65,,-1.04%
2024-01-02,169.51,170.55,172.01,169.21,,-0.57%
2024-01-01,170.49,167.6,171.87,166.76,,1.75%
2023-01-12,167.55,169.31,169.62,162.15,,-1.01%
2023-01-11,169.26,166.63,170.57,165.68,,1.62%
2023-01-10,166.56,163.35,168.46,160.02,,2.08%
2023-01-09,163.17,164.77,166.24,162.01,,-0.94%
2023-01-08,164.72,163.18,166.73,161.94,,0.96%
2023-01-07,163.15,161.32,164.07,158.48,,1.25%
2023-01-06,161.13,152.96,161.69,152.44,,5.33%
2023-01-05,152.97,152.41,155.6,149.79,,0.39%
2023-01-04,152.37,145.35,153.26,144.29,,5.00%
2023-01-03,145.11,144.57,147.95,140.19,,0.42%
2023-01-02,144.51,141.96,146.32,139.82,,1.80%
2023-01-01,141.96,141.82,143.95,137.4,,0.13%
2022-01-12,141.77,145.96,148.54,141.02,,-2.82%
2022-01-11,145.89,148.52,149.13,144.63,,-1.75%
2022-01-10,148.49,146.61,150.59,145.32,,1.27%
2022-01-09,146.63,142.16,151.57,142.04,,3.17%
2022-01-08,142.13,140.01,143.46,137.14,,1.57%
2022-01-07,139.93,142.1,143.15,138.66,,-1.51%
2022-01-06,142.08,134.13,143.77,134.01,,5.95%
2022-01-05,134.1,133.3,134.46,127.49,,0.57%
2022-01-04,133.34,131.85,136.21,131.82,,1.14%
2022-01-03,131.84,125.44,133.57,124.24,,5.14%
2022-01-02,125.4,124.16,125.68,123.86,,1.05%
2022-01-01,124.1,126.14,127.1,123.54,,-1.59%
2021-01-12,126.1,123.17,126.48,122.35,,2.45%
2021-01-11,123.09,124.42,125.54,122.11,,-1.09%
2021-01-10,124.45,119.43,125.06,118.93,,4.23%
2021-01-09,119.4,120.22,120.44,117.53,,-0.66%
2021-01-08,120.19,121.06,121.24,119.31,,-0.76%
2021-01-07,121.11,120.1,121.21,118.64,,0.87%
2021-01-06,120.07,121.83,122.79,118.86,,-1.40%
2021-01-05,121.77,119.61,122.56,119.25,,1.82%
2021-01-04,119.59,117.36,120.13,116.93,,1.96%
2021-01-03,117.29,117.31,118.2,115.89,,-0.01%
2021-01-02,117.3,117.57,118.89,116.14,,-0.20%
