"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2024","12.3693","12.3342","12.5469","12.2349","","0.41%"
"10/01/2024","12.3183","12.0674","12.3661","12.0214","","2.58%"
"09/01/2024","12.0083","12.0680","12.2822","11.8892","","-0.50%"
"08/01/2024","12.0683","12.1597","12.6418","11.9071","","-0.75%"
"07/01/2024","12.1597","11.7840","12.3671","11.6031","","3.23%"
"06/01/2024","11.7793","11.6565","11.8926","11.5358","","1.09%"
"05/01/2024","11.6528","11.9928","12.0448","11.5582","","-2.76%"
"04/01/2024","11.9836","11.8050","12.2376","11.6357","","1.52%"
"03/01/2024","11.8041","11.7268","11.9173","11.5848","","0.74%"
"02/01/2024","11.7172","12.0595","12.2029","11.6645","","-2.82%"
"01/01/2024","12.0577","11.9621","12.1755","11.8765","","0.84%"
"12/01/2023","11.9575","11.9950","12.0253","11.6573","","-0.26%"
"11/01/2023","11.9886","12.2741","12.3611","11.7226","","-2.25%"
"10/01/2023","12.2648","11.9333","12.4941","11.9143","","2.80%"
"09/01/2023","11.9313","12.4024","12.5478","11.8693","","-3.72%"
"08/01/2023","12.3921","12.0718","12.5373","12.0485","","2.75%"
"07/01/2023","12.0605","12.0563","12.2625","11.8289","","0.23%"
"06/01/2023","12.0330","11.9212","12.1286","11.7631","","1.03%"
"05/01/2023","11.9105","11.4776","12.0417","11.3864","","3.92%"
"04/01/2023","11.4608","11.3668","11.6378","11.2880","","1.08%"
"03/01/2023","11.3388","11.1118","11.7889","11.0637","","2.14%"
"02/01/2023","11.1012","11.4180","11.5379","11.0608","","-2.72%"
"01/01/2023","11.4120","11.2732","11.4494","11.0256","","1.40%"
"12/01/2022","11.2541","11.1004","11.3574","10.9496","","1.50%"
"11/01/2022","11.0882","11.0212","11.2493","10.8787","","0.75%"
"10/01/2022","11.0062","11.2201","11.4307","10.9656","","-1.81%"
"09/01/2022","11.2095","10.9017","11.6549","10.8780","","2.88%"
"08/01/2022","10.8958","10.6952","11.1587","10.5691","","2.29%"
"07/01/2022","10.6520","10.7029","10.8924","10.4658","","-0.42%"
"06/01/2022","10.6971","10.1760","10.8018","9.9904","","5.31%"
"05/01/2022","10.1580","10.0681","10.3343","9.9504","","0.73%"
"04/01/2022","10.0848","10.1831","10.2444","9.8847","","-0.98%"
"03/01/2022","10.1841","10.3484","10.8818","9.9290","","-1.54%"
"02/01/2022","10.3434","10.0547","10.4426","9.8279","","2.95%"
"01/01/2022","10.0466","9.9185","10.2128","9.7543","","1.43%"
"12/01/2021","9.9049","9.8194","9.9977","9.7733","","0.93%"
"11/01/2021","9.8139","9.3808","9.9354","9.3231","","4.67%"
"10/01/2021","9.3763","9.4002","9.5120","9.3036","","-0.24%"
"09/01/2021","9.3985","9.4264","9.4428","9.2802","","-0.24%"
"08/01/2021","9.4207","9.4947","9.6472","9.3758","","-0.60%"
"07/01/2021","9.4775","9.2483","9.5186","9.2316","","2.54%"
"06/01/2021","9.2426","9.2255","9.3912","9.1741","","0.22%"
"05/01/2021","9.2219","9.2678","9.3404","9.1837","","-0.49%"
"04/01/2021","9.2669","9.2524","9.3121","9.1367","","0.21%"
"03/01/2021","9.2479","9.2903","9.3218","9.0933","","-0.37%"
"02/01/2021","9.2825","9.3690","9.4253","9.0553","","-1.10%"
"01/01/2021","9.3857","9.2771","9.4745","9.1782","","1.17%"
"12/01/2020","9.2770","9.4265","9.5710","9.2221","","-1.60%"
"11/01/2020","9.4276","9.7163","9.7740","9.3344","","-2.66%"
"10/01/2020","9.6852","9.7263","9.8051","9.5800","","-0.37%"
"09/01/2020","9.7216","9.5688","9.8833","9.5055","","1.65%"
"08/01/2020","9.5640","9.6075","9.6953","9.4740","","-0.40%"
"07/01/2020","9.6025","9.8433","9.9073","9.4670","","-2.38%"
"06/01/2020","9.8362","9.8109","9.9746","9.5023","","0.52%"
"05/01/2020","9.7852","10.1042","10.3368","9.7757","","-3.15%"
"04/01/2020","10.1038","10.3118","10.4704","10.0574","","-1.68%"
"03/01/2020","10.2767","9.9727","10.7758","9.8278","","3.41%"
"02/01/2020","9.9378","9.9932","10.0985","9.8184","","-0.54%"
"01/01/2020","9.9918","9.6776","10.0133","9.6091","","3.33%"
"12/01/2019","9.6695","9.5694","9.6971","9.4573","","1.06%"
"11/01/2019","9.5679","9.7845","9.8664","9.5310","","-2.17%"
"10/01/2019","9.7800","9.8620","10.0289","9.6475","","-0.80%"
"09/01/2019","9.8585","9.9229","9.9940","9.6938","","-0.56%"
"08/01/2019","9.9139","9.7107","9.9591","9.7000","","2.12%"
"07/01/2019","9.7082","9.5103","9.7435","9.4237","","2.13%"
"06/01/2019","9.5058","9.4841","9.6188","9.4453","","0.24%"
"05/01/2019","9.4827","9.3143","9.6034","9.3046","","1.86%"
"04/01/2019","9.3094","9.3361","9.3716","9.1421","","-0.29%"
"03/01/2019","9.3365","9.2511","9.4100","9.1828","","0.95%"
"02/01/2019","9.2487","9.1007","9.3682","9.0719","","1.68%"
"01/01/2019","9.0956","9.0211","9.1769","9.0099","","0.88%"
"12/01/2018","9.0165","9.1150","9.2252","8.9688","","-1.06%"
"11/01/2018","9.1132","9.0893","9.1524","8.9355","","0.30%"
"10/01/2018","9.0856","9.0520","9.2441","8.9594","","0.42%"
"09/01/2018","9.0473","9.4428","9.4478","9.0169","","-4.15%"
"08/01/2018","9.4391","8.8789","9.4582","8.8577","","6.38%"
"07/01/2018","8.8734","9.0313","9.0754","8.7806","","-1.69%"
"06/01/2018","9.0259","8.9405","9.0595","8.7087","","0.98%"
"05/01/2018","8.9383","8.8291","9.0970","8.5775","","1.26%"
"04/01/2018","8.8271","8.7442","8.8535","8.6323","","1.05%"
"03/01/2018","8.7357","8.7774","8.8427","8.5688","","-0.43%"
"02/01/2018","8.7736","8.4591","8.8087","8.4362","","3.76%"
"01/01/2018","8.4557","8.4178","8.4736","8.2974","","0.46%"
"12/01/2017","8.4172","8.5141","8.6043","8.3698","","-1.11%"
"11/01/2017","8.5117","8.3967","8.5880","8.3640","","1.42%"
"10/01/2017","8.3928","8.4114","8.4367","8.2503","","-0.23%"
"09/01/2017","8.4120","8.2805","8.4447","8.1978","","1.62%"
"08/01/2017","8.2781","8.3440","8.5421","8.2588","","-0.75%"
"07/01/2017","8.3407","8.7910","8.8648","8.3379","","-5.14%"
"06/01/2017","8.7923","8.9781","9.0442","8.7795","","-2.02%"
"05/01/2017","8.9738","8.9029","8.9956","8.7733","","0.91%"
"04/01/2017","8.8927","8.9384","9.1019","8.8002","","-0.51%"
"03/01/2017","8.9385","8.9830","8.9925","8.8083","","-0.48%"
"02/01/2017","8.9813","8.8369","9.0003","8.7925","","1.68%"
"01/01/2017","8.8331","8.9332","8.9516","8.8011","","-1.17%"
"12/01/2016","8.9379","9.0722","9.1768","8.8795","","-1.38%"
"11/01/2016","9.0627","9.1334","9.3773","9.0015","","-0.72%"
"10/01/2016","9.1283","8.8251","9.1497","8.7530","","3.48%"
"09/01/2016","8.8213","8.7053","8.9117","8.6543","","1.47%"
"08/01/2016","8.6935","8.8186","8.8934","8.6353","","-1.41%"
"07/01/2016","8.8181","8.6659","8.8576","8.6107","","1.80%"
"06/01/2016","8.6626","8.3864","9.0166","8.3195","","3.33%"
"05/01/2016","8.3832","8.3792","8.4762","8.3269","","0.20%"
"04/01/2016","8.3665","8.4403","8.5591","8.2870","","-0.79%"
"03/01/2016","8.4335","8.5812","8.6617","8.3688","","-1.64%"
"02/01/2016","8.5739","8.3801","8.7626","8.3470","","2.31%"
"01/01/2016","8.3803","8.4362","8.5998","8.3458","","-0.56%"
"12/01/2015","8.4271","8.4822","8.7049","8.4044","","-0.65%"
"11/01/2015","8.4824","8.6423","8.7417","8.4270","","-1.77%"
"10/01/2015","8.6351","8.6011","8.7396","8.4380","","0.48%"
"09/01/2015","8.5935","8.7620","8.8168","8.4418","","-1.90%"
"08/01/2015","8.7600","8.9221","8.9785","8.6438","","-1.77%"
"07/01/2015","8.9183","8.8552","9.0584","8.8055","","0.76%"
"06/01/2015","8.8510","9.0594","9.0953","8.7208","","-2.29%"
"05/01/2015","9.0587","8.9309","9.0928","8.8201","","1.44%"
"04/01/2015","8.9297","8.8743","9.1180","8.7914","","0.66%"
"03/01/2015","8.8710","8.7408","8.9600","8.5023","","1.40%"
"02/01/2015","8.7482","8.9887","9.2017","8.7212","","-2.55%"
"01/01/2015","8.9769","7.8409","10.9819","7.8088","","14.51%"
"12/01/2014","7.8394","7.7134","8.1000","7.6793","","1.56%"
"11/01/2014","7.7188","7.6765","7.7389","7.6021","","0.58%"
"10/01/2014","7.6740","7.5513","7.7887","7.4675","","1.66%"
"09/01/2014","7.5488","7.6127","7.6742","7.5407","","-0.80%"
"08/01/2014","7.6098","7.5915","7.6410","7.5368","","0.28%"
"07/01/2014","7.5888","7.5360","7.7320","7.5210","","0.72%"
"06/01/2014","7.5343","7.4767","7.5747","7.3652","","0.86%"
"05/01/2014","7.4704","7.3858","7.4872","7.3348","","1.21%"
"04/01/2014","7.3809","7.3175","7.4947","7.2803","","0.91%"
"03/01/2014","7.3145","7.2833","7.3530","7.2305","","0.51%"
"02/01/2014","7.2771","7.2220","7.3839","7.1410","","0.83%"
"01/01/2014","7.2172","7.2098","7.2670","7.0930","","0.17%"
"12/01/2013","7.2053","7.2331","7.4468","7.1757","","-0.47%"
"11/01/2013","7.2394","7.1487","7.3080","7.0585","","1.33%"
"10/01/2013","7.1441","7.1048","7.1737","7.0121","","0.62%"
"09/01/2013","7.1003","7.1149","7.1257","6.9324","","-0.23%"
"08/01/2013","7.1167","7.0345","7.1368","6.9446","","1.21%"
"07/01/2013","7.0313","7.0844","7.1233","6.8792","","-0.89%"
